agri,mining,manufac
"1,535,380 ","242,973 ","373,896 "
"1,852,248 ","243,253 ","388,184 "
"1,911,050 ","249,368 ","395,861 "
"1,555,763 ","256,298 ","396,933 "
"1,564,324 ","209,432 ","414,884 "
"1,891,347 ","214,250 ","410,122 "
"1,938,235 ","220,418 ","428,435 "
"1,621,631 ","212,207 ","432,586 "
"1,631,251 ","224,830 ","452,060 "
"1,915,188 ","217,048 ","455,183 "
"1,955,501 ","248,933 ","479,281 "
"1,679,417 ","244,601 ","493,508 "
"1,760,087 ","214,072 ","496,685 "
"2,059,818 ","209,344 ","504,651 "
"2,115,071 ","222,701 ","552,022 "
"1,785,057 ","197,832 ","540,677 "
"1,875,910 ","237,220 ","526,676 "
"2,164,958 ","215,875 ","512,368 "
"2,219,573 ","271,890 ","580,104 "
"1,853,311 ","276,668 ","573,060 "
"1,932,457 ","251,980 ","586,720 "
"2,231,507 ","263,836 ","564,094 "
"2,266,253 ","273,380 ","630,599 "
"1,902,219 ","285,089 ","606,978 "
"2,009,171 ","278,595 ","622,020 "
"2,298,976 ","273,497 ","621,417 "
"2,342,542 ","299,696 ","659,510 "
"1,971,140 ","290,010 ","651,171 "
"2,061,446 ","299,575 ","644,172 "
"2,376,706 ","294,749 ","643,721 "
"2,432,720 ","312,618 ","684,004 "
"2,031,045 ","310,881 ","687,302 "
"2,109,895 ","280,573 ","673,407 "
"2,446,363 ","304,815 ","682,253 "
"2,516,525 ","323,060 ","754,908 "
"2,113,947 ","356,397 ","720,832 "
"2,181,963 ","335,939 ","728,555 "
"2,539,191 ","324,258 ","750,821 "
"2,596,221 ","339,767 ","802,505 "
"2,180,094 ","383,386 ","742,441 "
